category_id,category_name,playlist_id,playlist_name
0JQ5DAqbMKFPw634sFwguI,EQUAL,37i9dQZF1DWVA5o3WHL2eG,EQUAL GSA
0JQ5DAqbMKFOOxftoKZxod,RADAR,37i9dQZF1DX3Vl51vsat7a,RADAR GSA
0JQ5DAqbMKFOOxftoKZxod,RADAR,37i9dQZF1DX2TlTLxcIo6J,RADAR Songwriters
0JQ5DAqbMKFOOxftoKZxod,RADAR,37i9dQZF1DWTU63finroJM,RADAR Global 
0JQ5DAqbMKFOOxftoKZxod,RADAR,37i9dQZF1DWY0DyDKedRYY,RADAR US
0JQ5DAqbMKFOOxftoKZxod,RADAR,37i9dQZF1DWYc8Z858eGwP,RADAR Africa
0JQ5DAqbMKFAXlCG6QvYQ4,Workout,37i9dQZF1DX5FlZmJ3JWL1,Fit Beats 
0JQ5DAqbMKFAXlCG6QvYQ4,Workout,37i9dQZF1DX36TRAnIL92N,Techno Workout
0JQ5DAqbMKFAXlCG6QvYQ4,Workout,37i9dQZF1DXdxcBWuJkbcy,Gym Hits
0JQ5DAqbMKFAXlCG6QvYQ4,Workout,37i9dQZF1DX6scD2GXri65,Hardstyle Gym 💪
0JQ5DAqbMKFAXlCG6QvYQ4,Workout,37i9dQZF1DX76Wlfdnj7AP,Beast Mode
0JQ5DAqbMKFCuoRTxhYWow,Sleep,37i9dQZF1DWZd79rJ6a7lp,Sleep
0JQ5DAqbMKFCuoRTxhYWow,Sleep,37i9dQZF1DWUZ5bk6qqDSy,White Noise 10 Hours
0JQ5DAqbMKFCuoRTxhYWow,Sleep,37i9dQZF1DXbcPC6Vvqudd,Night Rain
0JQ5DAqbMKFCuoRTxhYWow,Sleep,37i9dQZF1DWYcDQ1hSjOpY,Deep Sleep
0JQ5DAqbMKFCuoRTxhYWow,Sleep,37i9dQZF1DX3WdioUzkg8I,Fall Asleep
0JQ5DAqbMKFA6SOHvT3gck,Party,37i9dQZF1DX9EM98aZosoy,Partyhymnen
0JQ5DAqbMKFA6SOHvT3gck,Party,37i9dQZF1DWVWiyE9VDkCO,Party Deluxe
0JQ5DAqbMKFA6SOHvT3gck,Party,37i9dQZF1DX1i11qSEWNoS,schiebt anders
0JQ5DAqbMKFA6SOHvT3gck,Party,37i9dQZF1DX802IXCAaWtY,90s Dance Party
0JQ5DAqbMKFA6SOHvT3gck,Party,37i9dQZF1DX7F6T2n2fegs,Throwback Party
0JQ5DAqbMKFx0uLQR2okcc,At Home,37i9dQZF1DX0SM0LYsmbMT,Jazz Vibes
0JQ5DAqbMKFx0uLQR2okcc,At Home,37i9dQZF1DX1htCFhfVtyK,Zuhause
0JQ5DAqbMKFx0uLQR2okcc,At Home,37i9dQZF1DX4sWSpwq3LiO,Peaceful Piano
0JQ5DAqbMKFx0uLQR2okcc,At Home,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation
0JQ5DAqbMKFx0uLQR2okcc,At Home,37i9dQZF1DWXe9gFZP0gtP,Stress Relief
0JQ5DAqbMKFCbimwdOYlsl,Focus,37i9dQZF1DWZeKCadgRdKQ,Deep Focus
0JQ5DAqbMKFCbimwdOYlsl,Focus,37i9dQZF1DWSluGMsH1R9r,Perfect Concentration
0JQ5DAqbMKFCbimwdOYlsl,Focus,37i9dQZF1DWZZbwlv3Vmtr,Focus Flow
0JQ5DAqbMKFCbimwdOYlsl,Focus,37i9dQZF1DWYmSg58uBxin,Positive Focus
0JQ5DAqbMKFCbimwdOYlsl,Focus,37i9dQZF1DX45qfzFXwcta,Boom Bap Focus
0JQ5DAqbMKFIVNxQgRNSg0,Decades,37i9dQZF1DWXeOurMWUII5,2000er Hits
0JQ5DAqbMKFIVNxQgRNSg0,Decades,37i9dQZF1DWTWEW1zqSeEj,90er Hits
0JQ5DAqbMKFIVNxQgRNSg0,Decades,37i9dQZF1DXdCc7Q1hwtuv,80er Hits
0JQ5DAqbMKFIVNxQgRNSg0,Decades,37i9dQZF1DX4o1oenSJRJd,All Out 2000s
0JQ5DAqbMKFIVNxQgRNSg0,Decades,37i9dQZF1DX4UtSsGT1Sbe,All Out 80s
0JQ5DAqbMKFxXaXKP7zcDp,Latin,37i9dQZF1DX10zKzsJ2jva,Viva Latino
0JQ5DAqbMKFxXaXKP7zcDp,Latin,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
0JQ5DAqbMKFxXaXKP7zcDp,Latin,37i9dQZF1DWYK2yx0OW9Kj,Workout Latino
0JQ5DAqbMKFxXaXKP7zcDp,Latin,37i9dQZF1DX8SfyqmSFDwe,Old School Reggaeton
0JQ5DAqbMKFxXaXKP7zcDp,Latin,37i9dQZF1DXaR954ExpGKR,Latino Global
0JQ5DAqbMKFEZPnFQSFB1T,R&B,37i9dQZF1DX4SBhb3fqCJd,RNB X
0JQ5DAqbMKFEZPnFQSFB1T,R&B,37i9dQZF1DX2PG4mbkilf3,Mood Ring 
0JQ5DAqbMKFEZPnFQSFB1T,R&B,37i9dQZF1DX942d1NzGgzk,R&B UK
0JQ5DAqbMKFEZPnFQSFB1T,R&B,37i9dQZF1DX0SlHbqMm3vJ,Ginger Me
