category_id,category_name,playlist_id,playlist_name,song_id,song_artist,song_title
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,1z60FNfTtizk2N7VGtS1c2,Teven,Etage 4
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,0n3Y03OhVOM23PECUKu2Wm,"Olexesh, ilo 7araga",Motorsport
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,3qIAER5BgecbZHfZmj7RBq,"Peter Fox, reezy",Toast 🍸
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,3uf8kERpUgjU7cOGv1L4r3,Azet,mhm...
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,2pXy4N9nMp5qkvna73rkBp,"BILLA JOE, Faroon",LIVE ON AIR
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,7tIzHYNGyUvZ9zYrND1U0p,Gzuz,Noch ein Glas
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,1TFK9oczePSWgNtWRWlUoI,"Ski Aggu, Marlon Hoffstadt",Balla Balla
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,5ip9eQ3VyleYFDK0ix9b9y,"KALIM, LAYLA",SAVAGE (feat. LAYLA)
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,4cdf9VXUzmz6JK7mdZb08k,Jamule,HUNDERTZEHN
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,6n8IoFmVucuWftnyUFcJmb,"Olexesh, Aymen",Mademoiselle
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,7eBo7oeGFWJ9GlL1Me6NuV,Amo,Amo aller Amos
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,45VFwSsxYlqhpwqFfvL6Zh,badmómzjay,ALLES GLÄNZT
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,1TcPzAOy7RjHtLVV2uJgo5,"KALIM, Bawer",5IVE ON IT
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,2XHgNtpQI0xLQzTMMazUsG,"CAPO, Nimo",BEYDA (feat. Nimo)
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,7AGtu4Lg1qMeky9XCkWu9h,Samra,Geständnis
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,2IljGIvJWtgjvG4h8WUh8E,Teven,SMS
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,1kQKmatH0qVvnT05kJ0o4d,"Paula Hartmann, Symba",Uludağ und Sorgen
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,7G6CXD57a8mIUFoOrmMhU7,Monet192,Ella
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DX36edUJpD76c,Modus Mio,2e3bkN2QCScPUnUQiA9ZA4,"Shindy, Shirin David",Affalterbach
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,1TFK9oczePSWgNtWRWlUoI,"Ski Aggu, Marlon Hoffstadt",Balla Balla
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,6df3If2RzcZ0CP79sVEuSe,"Olexesh, Bonez MC",Cabrio
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,4uDyEmWYoyfi2azbGS4IVs,"Paula Hartmann, makko",nimm mit
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,7e9nBXpXEI5R8jaP5EXrTA,KALIM,BLICKYS
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,0QCNL0DllNbIwdXYppBqH7,HoodBlaq,PANAMERA
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,0JK2n9ZfIqI4Wb1sctG7po,"Marlo, MERO, Murda",Madness & Badness
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,1myktoEXB1nLGgAIJyOFis,"Ufo361, Monty Datta, Hinshi",UR IN MY HEAD
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,7zAgHlntQP0x0eDK1VyE9V,"Chapo102, Bausa, Herbert Grönemeyer",Alkohol - #40Bochum
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,6jdhz8yZUNY59PaQ1HsBMq,O.G.,Undercover
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,5ZoQAIGFqYYIi3ehwsmct8,"Haiyti, Trettmann",movie star
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,7vgB6dwgL7HGeMpulW2w46,RAPK,Fieber
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,5VsWmjQcBtbiuopvAWyjYJ,"t-low, Endzone",NO SPECIAL DAY
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,11heKDrARnyTUTqPJ47Xxr,Miami Yacine,CLASSIC
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,4teji8GiIsq5qyM3ho0cYO,"Zuna, Majk",E Jemja
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,73ZyemC3lmQqihd64IPDgt,"PaulK, TRIM, reezy",LASS MICH
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,1piSgt1EMDxoGgRByTngcg,"Ardian Bujupi, L.A.X",Ma Bebe (feat. L.A.X)
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,2n9Svm9Y0zSmbzo08U3NCy,"GRiNGO, LX",SLANG MANG
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,2iNNszbdk0nMdVEmZdN8cN,"KARDO, GOTTI, X WAVE",BBL (BROKE)
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,0L6q4dE6PCWpPuaOwGuBxe,Kianush,KEIN TON
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,6bBLjMAlMe7v4MO8DNE0ma,"Eli Preiss, Kwam.E",Ohne Dich
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,4mCztg6QKCuUJIsz6uepGP,"Sant, Elias",zu klein
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,3qIAER5BgecbZHfZmj7RBq,"Peter Fox, reezy",Toast 🍸
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,6aCAQmJMBHve3Tfelte1HR,"Dardan, Azet",Pa Mu
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,1IncGnjnnKmBkFw0vIf0lV,"Dardan, Azet",Eurosport
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,5g6kQitL4OSo9tWkWDGkNT,"Celo & Abdi, Summer Cem, Nimo",So So Def (feat. Summer Cem & Nimo)
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,0MT2Y0Mvbv5detaaHMM0SK,"Gzuz, LX",Motorsport
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,1cNaCkEOpWCYqjB41AXwch,AK AUSSERKONTROLLE,WO
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,6n8IoFmVucuWftnyUFcJmb,"Olexesh, Aymen",Mademoiselle
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,0n3Y03OhVOM23PECUKu2Wm,"Olexesh, ilo 7araga",Motorsport
0JQ5DAqbMKFQ00XGBls6ym,Hip-Hop,37i9dQZF1DWSTqUqJcxFk6,Deutschrap Brandneu,7ciTcePUxWjBbaouXk7Bvf,"Olexesh, Ataypapi, ilo 7araga",Pistoleta
